Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15.015015015015015,5,2,7,4,0,-0.024318221295813795,300
1,14.564564564564565,5,4,5,5,0,-0.03821434775056453,800
2,13.363363363363364,0,3,5,5,0,-0.045162410977939896,100
3,13.213213213213214,0,3,5,5,0,-0.03821434775056453,300
4,12.762762762762764,0,7,5,5,0,-0.03126628452318916,450
5,12.087087087087086,0,3,5,4,0,-0.03821434775056453,200
6,11.786786786786786,0,5,5,5,0,-0.045162410977939896,500
7,11.036036036036036,0,5,5,4,0,-0.045162410977939896,600
8,10.135135135135135,5,4,2,5,0,-0.07295466388744137,400
9,9.534534534534535,5,4,3,3,0,-0.05905853743269064,664
10,8.537537537537538,0,3,5,5,0,-0.03126628452318916,1000
11,7.036036036036036,5,2,8,3,0,0.0034740316136876847,1000
12,5.534534534534535,0,2,7,4,0,-0.010422094841063054,600
13,4.633633633633633,0,2,7,4,0,-0.010422094841063054,100
14,4.483483483483483,0,4,8,6,0,0.0034740316136876847,700
15,3.4324324324324325,0,5,8,4,0,0.021052631578947368,2286
0,0.0,0,6,9,4,0,-0.05207067726594231,720
1,13.933933933933934,5,7,9,6,0,-0.024299649390773077,5791
2,5.238738738738738,0,4,9,5,0,-0.024299649390773077,700
3,4.187687687687688,0,2,9,4,0,0.003471378484396153,426
4,3.548048048048048,0,3,9,5,0,0.03818516332835769,200
5,3.2477477477477477,0,3,9,4,0,0.01041413545318846,1100
6,1.5960960960960962,0,0,9,5,0,0.01041413545318846,100
7,1.445945945945946,5,2,9,5,0,0.01041413545318846,800
8,0.24474474474474475,5,2,9,5,0,-0.01041413545318846,163
9,0.0,0,1,0,3,0,no trade ,0
10,0.0,0,2,0,4,0,no trade ,0
11,0.0,0,5,0,5,0,no trade ,0
12,0.0,0,3,0,5,0,no trade ,0
13,0.0,0,5,0,5,0,no trade ,0
14,0.0,5,3,0,5,0,no trade ,0
15,0.0,0,1,0,5,0,no trade ,0
0,0.0,0,5,9,5,0,0.024309776002778262,600
1,14.114114114114114,0,4,9,5,0,0.010418475429762111,600
2,13.213213213213214,0,2,9,5,0,-0.0034728251432540372,400
3,12.612612612612613,0,1,9,3,0,-0.017364125716270183,100
4,12.462462462462462,0,2,9,4,0,-0.031255426289286334,400
5,11.861861861861861,5,0,8,5,0,-0.04514672686230248,650
6,10.885885885885886,0,2,8,4,0,-0.031255426289286334,1000
7,9.384384384384385,5,3,9,4,0,-0.031255426289286334,505
