Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15.015015015015015,0,3,4,6,0,-0.05211047420531526,500
1,14.264264264264265,0,2,6,5,0,-0.03821434775056453,110
2,14.0990990990991,5,3,4,4,1,-0.04780267500434254,1332
3,12.0990990990991,5,3,4,4,5,no trade ,0
4,12.0990990990991,5,4,5,5,5,no trade ,0
5,12.0990990990991,0,2,4,4,4,-0.03279485843321174,3331
6,7.097597597597598,0,3,4,6,5,no trade ,0
7,7.097597597597598,0,4,5,4,5,no trade ,0
8,7.097597597597598,0,3,2,5,5,no trade ,0
9,7.097597597597598,0,2,2,4,5,no trade ,0
10,7.097597597597598,0,5,4,4,5,no trade ,0
11,7.097597597597598,0,2,7,6,1,-0.006531179433732847,1600
12,4.695195195195195,0,2,8,5,1,0.008198714608302935,1600
13,2.2927927927927927,0,0,6,5,0,-0.010422094841063054,500
14,1.542042042042042,5,4,7,4,0,0.0034740316136876847,650
15,0.566066066066066,0,3,8,5,0,0.010422094841063054,377
0,0.0,0,2,9,5,0,-0.06595619120352691,204
1,14.70870870870871,5,5,9,4,3,-0.021591974172944076,7911
2,2.83033033033033,0,0,9,4,5,no trade ,0
3,2.83033033033033,0,3,9,5,5,no trade ,0
4,2.83033033033033,0,3,9,6,5,no trade ,0
5,2.83033033033033,0,3,9,5,5,no trade ,0
6,2.83033033033033,0,5,9,4,1,0.02082827090637692,1877
7,0.012012012012012012,0,2,9,4,1,0.01041413545318846,8
8,0.0,0,2,0,4,1,no trade ,0
9,0.0,0,3,0,5,1,no trade ,0
10,0.0,5,4,0,5,5,no trade ,0
11,0.0,0,4,0,5,1,no trade ,0
12,0.0,0,1,0,5,5,no trade ,0
13,0.0,0,3,0,5,1,no trade ,0
14,0.0,0,4,0,5,1,no trade ,0
15,0.0,0,4,0,5,1,no trade ,0
0,0.0,0,4,9,5,0,0.017364125716270183,400
1,14.414414414414415,5,2,9,5,0,0.031255426289286334,913
2,13.043543543543544,0,3,9,4,1,0.020975863865254386,1250
3,11.166666666666666,5,4,9,4,5,no trade ,0
4,11.166666666666666,0,3,9,4,4,0.013613474561555825,4793
5,3.96996996996997,0,2,6,5,5,no trade ,0
6,3.96996996996997,0,0,8,4,5,no trade ,0
7,3.96996996996997,0,3,9,4,1,-0.012363257509984373,1085
8,2.340840840840841,0,1,8,4,1,-0.026810210105921165,850
9,1.0645645645645645,0,4,9,4,1,0.016947386699079702,709
10,0.0,0,3,0,4,1,no trade ,0
11,0.0,0,3,0,4,1,no trade ,0
12,0.0,0,4,0,5,1,no trade ,0
13,0.0,5,3,0,4,1,no trade ,0
14,0.0,5,2,0,3,1,no trade ,0
15,0.0,0,6,0,4,1,no trade ,0
0,0.0,5,1,9,3,0,0.06951685783802572,450
1,14.33933933933934,0,0,7,5,0,0.027806743135210286,1
2,14.337837837837839,5,3,6,5,1,0.03017031630170316,2599
3,10.435435435435435,5,0,4,4,5,no trade ,0
4,10.435435435435435,0,1,5,5,4,0.03149113660062565,3480
5,5.21021021021021,5,2,4,4,5,no trade ,0
6,5.21021021021021,0,3,5,4,5,no trade ,0
7,5.21021021021021,0,3,5,4,5,no trade ,0
8,5.21021021021021,0,2,3,5,1,-0.008063955509210984,650
9,4.2342342342342345,0,3,1,5,1,-0.024748001390337157,1800
10,1.5315315315315314,0,5,2,5,0,-0.0069516857838025714,100
11,1.3813813813813813,0,5,3,5,0,0.0069516857838025714,757
12,0.24474474474474475,5,3,1,5,1,-0.013903371567605143,163
13,0.0,0,4,0,5,1,no trade ,0
14,0.0,0,2,0,4,1,no trade ,0
15,0.0,0,2,0,5,1,no trade ,0
0,0.0,0,3,6,5,0,0.059111930178378944,200
1,14.714714714714715,5,2,3,4,0,0.02434020654403839,1063
2,13.118618618618619,5,3,3,5,1,0.028930074063771342,1348
3,11.094594594594595,0,1,0,5,5,no trade ,0
4,11.094594594594595,0,2,1,4,4,0.015160471504572481,4265
5,4.6906906906906904,5,3,2,5,5,no trade ,0
6,4.6906906906906904,5,3,1,5,5,no trade ,0
7,4.6906906906906904,5,3,4,4,1,0.0493063041134949,1006
8,3.18018018018018,5,1,3,3,1,0.04103063388852185,1100
9,1.5285285285285286,0,3,4,3,0,0.052157585451510835,304
10,1.072072072072072,5,1,4,4,1,0.054661149553183346,714
11,0.0,0,0,0,5,1,no trade ,0
12,0.0,0,0,0,4,1,no trade ,0
13,0.0,5,1,0,4,1,no trade ,0
14,0.0,0,4,0,5,1,no trade ,0
15,0.0,0,3,0,4,1,no trade ,0
0,0.0,0,2,0,4,0,0.017390699453932037,548
1,14.192192192192191,5,0,0,5,0,0.0034781398907864076,748
2,13.06906906906907,0,3,0,3,1,0.022677472087927378,1034
3,11.516516516516516,5,2,1,5,5,no trade ,0
