Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,10.0,0,0,8,5,2,0.7135220507836229,225
1,9.775,9,9,0,5,2,0.5516948122949824,800
2,8.975,0,9,0,4,2,0.3148376347258622,1500
3,7.475,0,9,0,5,2,0.1533054480448479,300
4,7.175,0,9,0,5,2,0.14693580019785826,300
5,6.875,0,9,0,5,2,0.1284343162608258,100
6,6.775,0,9,0,5,2,0.20523456618706282,400
7,6.375,0,9,0,5,2,-0.036360796292760816,380
8,5.995,0,9,0,5,2,0.1347866081191315,300
9,5.695,0,9,0,5,2,0.11310897825294619,632
10,5.063,0,9,0,4,2,0.14094798410191436,5063
0,0.0,0,9,0,4,2,0.2163514581831134,38
1,9.962,0,9,0,4,2,0.23848699927894432,611
2,9.351,0,9,0,5,2,0.033655057380395974,32
3,9.319,0,9,0,4,2,0.05705896150605079,324
4,8.995,0,7,0,4,2,0.0738604279422113,115
5,8.88,0,9,0,4,2,-0.06416526944026966,139
6,8.741,0,4,0,5,2,0.01223188456158945,143
7,8.598,0,9,0,4,2,-0.059196066337123945,303
8,8.295,0,8,0,4,2,0.024932889695853496,124
9,8.171,0,8,0,5,2,0.07106307934218871,145
10,8.026,0,9,0,5,2,0.08680468078082514,8026
0,0.0,0,9,0,5,2,0.005212088570758446,400
1,9.6,0,9,0,5,2,0.0764787129615956,946
2,8.654,0,9,0,4,2,0.09380022064508282,345
3,8.309,0,7,0,5,2,0.07170096510506702,362
4,7.947,0,9,0,5,2,0.11497867387093132,214
5,7.733,0,8,0,5,2,0.09517273730204921,157
6,7.576,0,5,0,5,2,-0.01297810054118853,213
7,7.363,0,6,0,5,2,0.00998983642728702,401
8,6.962,0,9,0,5,2,0.056794391792697865,340
9,6.622,0,9,0,5,2,0.06850421744833517,211
10,6.411,0,9,0,5,2,0.09013438501698272,6411
0,0.0,0,0,0,5,2,0.051872397033378835,33
1,9.967,0,9,0,5,2,0.045368784398285414,609
2,9.358,0,5,0,4,2,0.11629989653343534,210
3,9.148,0,9,0,5,2,0.0783215810386652,411
4,8.737,0,9,0,5,2,0.22390512376861746,214
5,8.523,0,9,0,5,2,0.12172537017554538,600
6,7.923,0,9,0,4,2,0.033178858042134364,508
7,7.415,0,7,0,4,2,0.18975246276507873,309
8,7.106,0,9,0,5,2,0.08604244737551407,201
9,6.905,0,8,0,5,2,0.024866754193004267,500
10,6.405,0,2,0,5,2,0.06110613582812378,6405
0,0.0,0,9,0,5,2,0.4519916142557652,341
1,9.659,0,9,0,5,2,0.44061844863731653,374
2,9.285,0,9,0,5,2,0.25751222921034245,500
3,8.785,0,9,0,4,2,0.11217679944095038,311
4,8.474,0,9,0,4,2,0.06032494758909853,320
5,8.154,0,9,0,4,2,-0.14150943396226415,300
6,7.854,0,7,0,4,2,-0.0062368972746331235,209
7,7.645,0,0,0,5,2,-0.0017470300489168412,400
8,7.245,0,0,0,5,2,0.04208595387840671,310
9,6.935,0,1,0,4,2,-0.02398672257162823,547
10,6.388,0,4,0,5,2,0.10461215932914046,6388
0,0.0,0,0,0,5,2,0.030806329014389684,220
1,9.78,0,0,0,5,2,0.08043195261102422,15
2,9.765,0,0,0,4,2,0.062206767607048935,132
3,9.633,0,9,0,4,2,0.041762408590125547,220
4,9.413,0,9,0,4,2,-0.027626095389534932,212
5,9.201,0,0,0,5,2,-0.05067405226416908,120
6,9.081,0,9,0,5,2,0.028709471679320617,75
7,9.006,0,7,0,5,2,0.01881929458224486,153
8,8.853,0,9,0,5,2,0.12436111378072115,310
9,8.543,0,1,0,4,2,-0.03791817014249893,249
10,8.294,0,8,0,5,2,0.10213442602898905,8294
0,0.0,0,0,0,4,2,0.5059021922428331,15
1,9.985,0,0,0,5,2,0.4597386172006745,115
2,9.87,0,5,0,5,2,0.5076587970770096,15
3,9.855,0,8,0,4,2,0.4514650084317032,226
4,9.629,0,7,0,5,2,0.307493676222597,187
5,9.442,0,0,0,4,2,0.2255304946599213,23
6,9.419,0,8,0,4,2,0.10804876335019674,202
7,9.217,0,0,0,4,2,0.12983066329398538,157
8,9.06,0,0,0,4,2,0.06253513209668353,209
9,8.851,0,0,0,4,2,0.06885890949971894,130
10,8.721,0,0,0,4,2,0.09585792580101181,8721
0,0.0,0,8,0,4,2,-0.005518210974913229,118
1,9.882,0,7,0,5,2,0.16043231843943587,247
2,9.635,0,6,0,5,2,0.17482535916699618,262
3,9.373,0,9,0,5,2,0.18215368393304338,236
4,9.137,0,6,0,4,2,0.11159439391942358,315
5,8.822,0,5,0,5,2,0.09326479504415448,119
6,8.703,0,9,0,5,2,0.15025701858442073,149
7,8.554,0,9,0,5,2,0.016800667808971485,263
8,8.291,0,9,0,5,2,0.0009841395369272002,310
9,7.981,0,7,0,4,2,-0.07653442291639208,209
10,7.772,0,5,0,4,2,0.08022494617986907,7772
