Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15.015015015015015,0,2,6,5,0,-0.03126628452318916,400
1,14.414414414414415,5,3,6,4,5,no trade ,0
2,14.414414414414415,0,5,5,6,5,no trade ,0
3,14.414414414414415,5,4,5,5,5,no trade ,0
4,14.414414414414415,0,8,5,5,0,-0.03126628452318916,819
5,13.184684684684685,0,2,6,5,5,no trade ,0
6,13.184684684684685,0,6,5,5,5,no trade ,0
7,13.184684684684685,0,3,4,5,5,no trade ,0
8,13.184684684684685,0,4,3,5,5,no trade ,0
9,13.184684684684685,5,4,3,5,5,no trade ,0
10,13.184684684684685,5,3,6,4,0,-0.024318221295813795,1300
11,11.232732732732734,0,3,9,5,0,0.0034740316136876847,700
12,10.181681681681681,5,2,8,3,5,no trade ,0
13,10.181681681681681,0,3,8,5,5,no trade ,0
14,10.181681681681681,0,4,9,3,5,no trade ,0
15,10.181681681681681,5,4,9,5,0,0.03265589716866423,6781
0,0.0,5,6,9,5,2,-0.04387822404276738,3350
1,9.984984984984985,0,6,9,4,0,-0.03124240635956538,800
2,8.783783783783784,0,4,9,4,5,no trade ,0
3,8.783783783783784,0,3,9,6,5,no trade ,0
4,8.783783783783784,5,4,9,4,5,no trade ,0
5,8.783783783783784,5,2,9,4,5,no trade ,0
6,8.783783783783784,0,0,9,4,2,0.017981740549172075,1885
7,5.953453453453453,0,2,9,4,5,no trade ,0
8,5.953453453453453,5,3,9,4,0,-0.01041413545318846,550
9,5.127627627627628,5,2,9,4,5,no trade ,0
10,5.127627627627628,0,2,9,3,5,no trade ,0
11,5.127627627627628,5,5,9,6,5,no trade ,0
12,5.127627627627628,0,2,9,5,5,no trade ,0
13,5.127627627627628,0,3,9,4,5,no trade ,0
14,5.127627627627628,5,3,9,5,5,no trade ,0
15,5.127627627627628,0,2,9,6,5,0.005415350435658,3415
0,0.0,0,3,9,4,5,no trade ,0
1,15.015015015015015,5,4,9,5,5,no trade ,0
2,15.015015015015015,0,3,9,5,0,-0.0034728251432540372,500
3,14.264264264264265,0,2,9,5,5,no trade ,0
4,14.264264264264265,0,2,8,5,0,-0.03820107657579441,900
5,12.912912912912914,0,0,8,5,2,-0.03847890258725473,2142
6,9.696696696696696,0,2,9,4,5,no trade ,0
7,9.696696696696696,5,3,9,5,5,no trade ,0
8,9.696696696696696,0,4,9,5,5,no trade ,0
9,9.696696696696696,0,3,9,4,5,no trade ,0
10,9.696696696696696,0,3,9,4,5,no trade ,0
11,9.696696696696696,0,3,9,3,5,no trade ,0
12,9.696696696696696,0,2,9,5,5,no trade ,0
13,9.696696696696696,0,3,8,5,5,no trade ,0
14,9.696696696696696,0,3,9,5,0,-0.017364125716270183,400
15,9.096096096096096,0,4,9,5,5,0.01673901719048446,6058
0,0.0,0,3,8,4,5,no trade ,0
1,15.015015015015015,5,2,6,4,5,no trade ,0
2,15.015015015015015,5,2,6,5,5,no trade ,0
3,15.015015015015015,0,2,6,4,0,0.013903371567605143,400
4,14.414414414414415,0,3,4,6,5,no trade ,0
5,14.414414414414415,0,2,5,5,0,0.013903371567605143,500
6,13.663663663663664,5,5,7,4,0,0.04171011470281543,950
7,12.237237237237236,0,1,3,5,5,no trade ,0
8,12.237237237237236,5,0,0,5,3,-0.03767813694820994,3375
9,7.16966966966967,5,6,3,4,5,no trade ,0
10,7.16966966966967,0,3,5,5,5,no trade ,0
11,7.16966966966967,5,4,5,5,5,no trade ,0
12,7.16966966966967,0,3,3,5,5,no trade ,0
13,7.16966966966967,0,2,3,4,0,-0.013903371567605143,100
14,7.01951951951952,0,2,4,5,5,no trade ,0
15,7.01951951951952,0,5,5,4,5,0.03454987834549879,4675
0,0.0,0,1,4,4,5,no trade ,0
1,15.015015015015015,0,3,2,5,0,0.01738586181717028,900
2,13.663663663663664,0,2,0,5,0,-0.010431517090302166,200
3,13.363363363363364,0,4,1,5,0,-0.0034771723634340556,399
4,12.764264264264265,0,1,1,5,3,0.016481797002677424,2610
5,8.845345345345345,0,3,3,4,0,0.02434020654403839,1000
6,7.343843843843844,5,2,4,4,5,no trade ,0
7,7.343843843843844,0,3,5,4,0,0.04520324072464272,407
8,6.732732732732733,0,3,5,5,5,no trade ,0
9,6.732732732732733,5,3,4,5,0,0.03824889599777461,998
10,5.2342342342342345,5,0,4,4,0,0.04520324072464272,450
11,4.558558558558558,0,0,3,5,0,0.03824889599777461,700
12,3.5075075075075075,5,3,3,5,5,no trade ,0
