Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15.015015015015015,0,1,8,4,0,-0.03126628452318916,200
1,14.714714714714715,5,3,7,4,0,-0.03821434775056453,400
2,14.114114114114114,0,3,6,5,0,-0.045162410977939896,100
3,13.963963963963964,5,4,6,6,0,-0.03821434775056453,900
4,12.612612612612613,0,7,7,4,0,-0.03126628452318916,250
5,12.237237237237236,0,3,7,4,0,-0.03821434775056453,200
6,11.936936936936936,0,6,5,5,0,-0.045162410977939896,700
7,10.885885885885886,0,5,5,5,0,-0.045162410977939896,600
8,9.984984984984985,5,4,2,5,0,-0.07295466388744137,400
9,9.384384384384385,5,4,3,4,0,-0.05905853743269064,664
10,8.387387387387387,0,3,7,4,0,-0.03126628452318916,700
11,7.336336336336337,0,2,9,3,0,0.0034740316136876847,800
12,6.135135135135135,0,2,9,4,0,-0.010422094841063054,1100
13,4.483483483483483,5,3,9,5,0,-0.0034740316136876847,550
14,3.6576576576576576,5,4,9,5,0,0.0034740316136876847,900
15,2.3063063063063063,5,4,9,6,0,0.01806496439117596,1536
0,0.0,0,7,9,6,0,-0.05207067726594231,720
1,13.933933933933934,0,6,9,4,0,-0.03124240635956538,100
2,13.783783783783784,0,5,9,5,0,-0.024299649390773077,1000
3,12.282282282282281,0,2,9,4,0,0.003471378484396153,426
4,11.642642642642643,0,3,9,5,0,0.03818516332835769,100
5,11.492492492492492,0,1,9,5,0,0.003471378484396153,300
6,11.042042042042041,0,1,9,7,0,0.01041413545318846,800
7,9.84084084084084,0,2,9,5,0,0.003471378484396153,502
8,9.087087087087086,0,2,9,5,0,-0.01735689242198077,300
9,8.636636636636636,5,2,9,4,0,-0.01041413545318846,615
10,7.713213213213213,0,3,9,5,0,0.003471378484396153,400
11,7.112612612612613,0,6,9,5,0,0.01735689242198077,448
12,6.43993993993994,0,1,9,5,0,-0.01041413545318846,200
13,6.13963963963964,5,3,9,4,0,-0.01041413545318846,800
14,4.938438438438438,5,3,9,5,0,0.003471378484396153,1000
15,3.436936936936937,5,2,9,4,0,0.0031936682056444613,2289
0,0.0,5,3,9,4,0,0.024309776002778262,400
1,14.414414414414415,5,4,9,4,0,0.017364125716270183,650
2,13.438438438438439,0,2,9,4,0,-0.0034728251432540372,100
3,13.288288288288289,0,1,9,5,0,-0.017364125716270183,200
4,12.987987987987989,5,2,9,5,0,-0.031255426289286334,800
5,11.786786786786786,0,0,9,5,0,-0.04514672686230248,650
6,10.81081081081081,0,2,9,4,0,-0.031255426289286334,600
7,9.90990990990991,0,4,9,5,0,-0.031255426289286334,605
8,9.001501501501501,5,5,9,5,0,0.0034728251432540372,1150
9,7.274774774774775,0,4,9,4,0,0.024309776002778262,1098
10,5.626126126126126,0,4,9,4,0,0.031255426289286334,320
11,5.145645645645645,0,4,9,3,0,0.024309776002778262,100
12,4.995495495495495,0,4,9,5,0,0.0034728251432540372,550
13,4.16966966966967,0,2,9,6,0,-0.03820107657579441,700
14,3.1186186186186187,0,2,9,5,0,-0.017364125716270183,700
15,2.0675675675675675,0,3,9,5,0,0.003056086126063553,1377
0,0.0,0,3,9,6,0,0.04171011470281543,700
1,13.963963963963964,0,3,7,5,0,0.020855057351407715,1000
2,12.462462462462462,0,3,7,4,0,0.020855057351407715,1750
3,9.834834834834835,0,0,6,3,0,0.0069516857838025714,100
4,9.684684684684685,0,1,4,4,0,0.0,650
5,8.70870870870871,0,2,6,5,0,0.013903371567605143,400
6,8.108108108108109,0,4,9,3,0,0.03475842891901286,170
7,7.852852852852853,5,2,3,5,0,-0.0069516857838025714,750
8,6.726726726726727,0,0,0,5,0,-0.04866180048661801,300
9,6.276276276276277,0,6,2,4,0,-0.013903371567605143,149
10,6.0525525525525525,0,3,5,4,0,0.0069516857838025714,126
11,5.863363363363363,5,5,5,6,0,0.013903371567605143,950
12,4.436936936936937,0,3,2,4,0,-0.0069516857838025714,550
13,3.611111111111111,5,2,1,5,0,-0.013903371567605143,200
14,3.310810810810811,5,1,4,4,0,0.0069516857838025714,600
15,2.40990990990991,0,5,5,6,0,0.025443169968717413,1605
0,0.0,5,2,5,5,0,0.04520324072464272,1000
1,13.513513513513514,0,3,1,6,0,0.01738586181717028,700
2,12.462462462462462,0,2,0,4,0,-0.010431517090302166,100
3,12.312312312312311,0,3,0,4,0,-0.0034771723634340556,599
4,11.412912912912914,5,1,0,3,0,0.010431517090302166,650
5,10.436936936936936,0,3,2,5,0,0.02434020654403839,500
6,9.686186186186186,0,3,4,4,0,0.03824889599777461,400
7,9.085585585585585,0,3,5,5,0,0.04520324072464272,407
8,8.474474474474475,5,3,7,4,0,0.059111930178378944,550
9,7.648648648648648,0,3,4,5,0,0.03824889599777461,1100
10,5.996996996996997,0,0,4,5,0,0.03824889599777461,200
11,5.696696696696697,5,1,4,6,0,0.04520324072464272,1700
12,3.144144144144144,0,3,4,4,0,0.04520324072464272,380
13,2.5735735735735736,0,2,3,5,0,0.04520324072464272,1100
14,0.9219219219219219,5,3,0,6,0,0.02434020654403839,614
15,0.0,5,0,0,no trade ,0
0,0.0,5,0,0,5,0,0.0034781398907864076,1748
1,12.39039039039039,0,0,0,4,0,-0.017390699453932037,748
2,11.267267267267266,0,2,1,4,0,0.03825953879865048,248
3,10.894894894894895,0,1,0,3,0,0.024346979235504853,500
4,10.144144144144144,0,3,2,5,0,0.05217209836179611,368
5,9.591591591591591,0,3,0,4,0,0.03825953879865048,377
6,9.025525525525525,0,4,0,4,0,0.010434419672359222,300
7,8.575075075075075,0,4,0,4,0,0.010434419672359222,414
8,7.953453453453453,0,5,0,5,0,0.031303259017077666,481
9,7.231231231231231,5,5,0,6,0,0.024346979235504853,1347
10,5.208708708708708,0,3,0,3,0,0.0034781398907864076,131
11,5.012012012012012,5,1,0,4,0,0.0034781398907864076,300
12,4.561561561561562,0,2,0,3,0,0.010434419672359222,55
13,4.478978978978979,0,3,0,4,0,0.024346979235504853,100
14,4.328828828828829,0,1,0,5,0,0.010434419672359222,300
15,3.8783783783783785,0,0,0,4,0,0.02295572327919029,2583
0,0.0,0,1,0,6,0,-0.034777770049384434,731
1,13.917417417417417,0,0,0,4,0,-0.055644432079015094,100
2,13.767267267267266,0,6,0,4,0,-0.02086666202963066,750
3,12.64114114114114,5,2,0,5,0,0.0,500
4,11.89039039039039,5,2,0,5,0,0.0,600
5,10.98948948948949,5,0,0,6,0,-0.034777770049384434,700
6,9.938438438438439,0,0,0,5,0,-0.04868887806913821,500
7,9.187687687687689,0,0,0,4,0,-0.08346664811852264,400
8,8.587087087087086,0,0,0,4,0,-0.09042220212839953,2180
9,5.313813813813814,0,2,0,4,0,-0.07651109410864575,201
10,5.012012012012012,0,1,0,4,0,-0.06955554009876887,100
11,4.861861861861862,0,3,0,4,0,-0.02086666202963066,500
12,4.111111111111111,5,2,0,5,0,-0.034777770049384434,400
13,3.5105105105105103,5,2,0,5,0,-0.006955554009876887,450
14,2.834834834834835,0,1,0,no trade ,0
15,2.834834834834835,0,2,0,5,0,0.009598664533630103,1888
0,0.0,0,0,0,5,0,-0.0556366923986369,100
1,14.864864864864865,0,0,0,4,0,-0.06259127894846651,800
2,13.663663663663664,0,1,0,4,0,-0.06954586549829612,101
3,13.512012012012011,0,2,0,4,0,-0.03477293274914806,200
4,13.211711711711711,5,3,0,5,0,-0.041727519298977674,401
5,12.60960960960961,0,6,0,5,0,-0.02781834619931845,2000
6,9.606606606606606,0,3,0,3,0,-0.020863759649488837,350
7,9.08108108108108,5,2,0,6,0,-0.03477293274914806,1200
8,7.2792792792792795,5,5,0,6,0,-0.013909173099659226,1800
9,4.576576576576577,0,1,0,3,0,-0.03477293274914806,350
10,4.051051051051051,0,5,0,5,0,-0.02781834619931845,1529
11,1.7552552552552552,0,1,0,6,0,-0.048682105848807285,601
12,0.8528528528528528,0,0,0,5,0,-0.0556366923986369,400
13,0.25225225225225223,0,4,0,3,0,-0.013909173099659226,168
14,0.0,0,4,0,no trade ,0
15,0.0,0,1,0,no trade ,0
0,0.0,0,2,7,3,0,-0.03821434775056453,300
1,14.564564564564565,0,2,8,5,0,-0.03126628452318916,200
2,14.264264264264265,0,4,6,5,0,-0.045162410977939896,432
3,13.615615615615615,5,4,5,4,0,-0.045162410977939896,500
4,12.864864864864865,0,4,7,3,0,-0.03821434775056453,420
5,12.234234234234235,0,4,6,4,0,-0.045162410977939896,500
6,11.483483483483484,0,4,3,4,0,-0.05905853743269064,529
7,10.68918918918919,0,4,5,4,0,-0.045162410977939896,8
8,10.677177177177176,5,5,2,5,0,-0.066006600660066,722
9,9.593093093093094,5,2,2,4,0,-0.07295466388744137,600
10,8.692192192192191,0,4,6,3,0,-0.03821434775056453,417
11,8.066066066066066,0,1,9,5,0,-0.010422094841063054,400
12,7.465465465465465,0,1,9,3,0,-0.0034740316136876847,200
13,7.165165165165165,0,1,8,5,0,-0.024318221295813795,500
14,6.414414414414415,5,4,9,5,0,-0.0034740316136876847,1000
15,4.912912912912913,5,3,9,2,0,0.028209136703144,3272
0,0.0,0,3,9,4,0,-0.05901343423473461,220
1,14.684684684684685,0,5,9,4,0,-0.024299649390773077,4991
2,7.1906906906906904,5,4,9,4,0,-0.024299649390773077,412
3,6.572072072072072,5,3,9,4,0,-0.003471378484396153,545
4,5.753753753753754,0,2,9,4,0,0.01735689242198077,195
5,5.460960960960961,0,1,9,5,0,0.01735689242198077,700
6,4.40990990990991,0,3,9,4,0,0.024299649390773077,338
7,3.9024024024024024,0,2,9,5,0,0.01041413545318846,398
8,3.304804804804805,5,4,9,6,0,-0.003471378484396153,1500
9,1.0525525525525525,0,1,9,3,0,-0.01041413545318846,158
10,0.8153153153153153,5,3,9,3,0,0.003471378484396153,400
11,0.2147147147147147,5,1,9,5,0,0.01041413545318846,143
12,0.0,0,2,0,no trade ,0
13,0.0,5,5,0,no trade ,0
14,0.0,0,4,0,no trade ,0
15,0.0,0,4,0,no trade ,0
0,0.0,0,4,9,6,0,0.010418475429762111,300
1,14.564564564564565,0,2,9,5,0,0.024309776002778262,400
2,13.963963963963964,0,4,9,5,0,0.017364125716270183,500
3,13.213213213213214,0,4,9,5,0,-0.024309776002778262,1128
4,11.51951951951952,0,3,9,5,0,-0.010418475429762111,1000
5,10.018018018018019,0,1,9,6,0,-0.052092377148810556,100
6,9.867867867867869,0,3,9,4,0,-0.024309776002778262,325
7,9.37987987987988,0,2,9,5,0,-0.024309776002778262,600
8,8.47897897897898,0,2,9,3,0,-0.024309776002778262,300
9,8.028528528528529,0,3,9,3,0,0.017364125716270183,10
10,8.013513513513514,0,4,9,5,0,0.017364125716270183,500
11,7.262762762762763,0,5,9,4,0,0.017364125716270183,400
12,6.662162162162162,0,2,9,4,0,0.017364125716270183,600
13,5.761261261261262,5,3,9,5,0,-0.010418475429762111,450
14,5.085585585585585,0,2,9,5,0,-0.017364125716270183,500
15,4.334834834834835,5,6,9,5,0,0.01618336516756381,2887
0,0.0,0,2,9,5,0,0.06256517205422316,900
1,13.663663663663664,5,1,8,4,0,0.027806743135210286,1551
2,11.334834834834835,0,0,6,4,0,0.0069516857838025714,200
3,11.034534534534535,5,0,5,4,0,0.0069516857838025714,950
4,9.608108108108109,0,1,6,6,0,0.0069516857838025714,300
5,9.157657657657658,5,3,6,5,0,0.013903371567605143,900
6,7.806306306306307,0,3,6,4,0,0.013903371567605143,200
7,7.506006006006006,0,1,6,5,0,0.013903371567605143,500
8,6.755255255255255,5,3,1,6,0,-0.020855057351407715,850
9,5.478978978978979,5,4,1,5,0,-0.013903371567605143,500
10,4.728228228228228,0,3,3,5,0,0.0,400
11,4.127627627627628,0,4,4,6,0,0.0069516857838025714,400
12,3.527027027027027,0,3,0,6,0,-0.020855057351407715,700
13,2.475975975975976,5,5,1,6,0,-0.0069516857838025714,1350
14,0.44894894894894893,0,1,1,5,0,-0.0069516857838025714,210
15,0.13363363363363365,0,2,3,4,0,0.013903371567605143,89
0,0.0,5,3,8,5,0,0.059111930178378944,700
1,13.963963963963964,0,1,1,4,0,0.010431517090302166,200
2,13.663663663663664,0,1,1,5,0,0.010431517090302166,200
3,13.363363363363364,0,1,0,6,0,-0.01738586181717028,400
4,12.762762762762764,0,3,1,4,0,0.010431517090302166,150
5,12.537537537537538,5,1,3,4,0,0.02434020654403839,613
6,11.617117117117116,5,2,2,4,0,0.01738586181717028,598
7,10.71921921921922,5,3,4,4,0,0.03824889599777461,648
8,9.746246246246246,0,2,6,3,0,0.04520324072464272,307
9,9.285285285285285,5,3,7,5,0,0.059111930178378944,400
10,8.684684684684685,5,0,4,4,0,0.03824889599777461,898
11,7.336336336336337,0,0,4,5,0,0.03824889599777461,400
12,6.7357357357357355,0,2,4,5,0,0.03824889599777461,450
13,6.06006006006006,0,1,5,4,0,0.04520324072464272,680
14,5.039039039039039,0,5,3,6,0,0.04520324072464272,1850
15,2.2612612612612613,0,3,0,5,0,0.013630515664661499,1506
0,0.0,5,1,0,5,0,0.031303259017077666,550
1,14.18918918918919,0,2,0,4,0,0.0034781398907864076,348
2,13.666666666666666,0,4,0,4,0,0.017390699453932037,396
3,13.072072072072071,5,3,0,5,0,0.03825953879865048,807
4,11.86036036036036,0,6,0,5,0,0.03825953879865048,900
5,10.50900900900901,0,2,0,5,0,0.031303259017077666,749
6,9.384384384384385,0,1,0,4,0,-0.0034781398907864076,328
7,8.891891891891891,5,3,0,5,0,0.0034781398907864076,665
8,7.893393393393393,0,3,0,4,0,0.031303259017077666,400
9,7.292792792792793,0,4,0,5,0,0.010434419672359222,900
10,5.941441441441442,0,3,0,5,0,0.010434419672359222,500
11,5.1906906906906904,0,1,0,5,0,-0.0034781398907864076,400
12,4.59009009009009,5,4,0,5,0,0.010434419672359222,1000
13,3.0885885885885886,0,1,0,5,0,0.010434419672359222,200
14,2.7882882882882885,0,2,0,5,0,0.010434419672359222,100
15,2.6381381381381384,0,2,0,5,0,0.009182289311676115,1757
0,0.0,0,3,0,4,0,-0.013911108019753773,250
1,14.63963963963964,0,1,0,3,0,-0.04173332405926132,550
2,13.813813813813814,5,3,0,5,0,-0.034777770049384434,710
3,12.747747747747749,0,4,0,4,0,0.0,250
4,12.372372372372372,5,5,0,6,0,0.013911108019753773,1600
5,9.96996996996997,0,2,0,5,0,-0.013911108019753773,200
6,9.66966966966967,0,0,0,4,0,-0.055644432079015094,56
7,9.585585585585585,0,0,0,4,0,-0.06955554009876887,100
8,9.435435435435435,0,0,0,6,0,-0.09737775613827641,400
9,8.834834834834835,0,0,0,4,0,-0.09042220212839953,100
10,8.684684684684685,0,2,0,4,0,-0.06955554009876887,200
11,8.384384384384385,0,4,0,4,0,-0.04173332405926132,1250
12,6.5075075075075075,0,3,0,5,0,-0.027822216039507547,400
13,5.906906906906907,0,2,0,5,0,0.0,800
14,4.7057057057057055,0,2,0,3,0,-0.02086666202963066,250
15,4.33033033033033,5,2,0,5,0,0.026639771857828475,2884
0,0.0,0,2,0,3,0,-0.02781834619931845,900
1,13.663663663663664,0,1,0,4,0,-0.06954586549829612,800
2,12.462462462462462,5,4,0,6,0,-0.0556366923986369,1300
3,10.51051051051051,0,3,0,5,0,-0.03477293274914806,900
4,9.15915915915916,5,3,0,4,0,-0.048682105848807285,650
5,8.183183183183184,0,3,0,5,0,-0.041727519298977674,600
6,7.282282282282282,5,2,0,5,0,-0.02781834619931845,500
7,6.531531531531532,0,4,0,4,0,-0.02781834619931845,550
8,5.7057057057057055,0,1,0,3,0,-0.03477293274914806,300
9,5.255255255255255,0,3,0,3,0,-0.02781834619931845,129
10,5.061561561561562,0,2,0,4,0,-0.048682105848807285,400
11,4.460960960960961,0,0,0,4,0,-0.0556366923986369,100
12,4.3108108108108105,5,1,0,5,0,-0.048682105848807285,1000
13,2.809309309309309,0,2,0,3,0,-0.03477293274914806,750
14,1.6831831831831832,5,4,0,6,0,-0.013909173099659226,1121
