Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Expected Payout
0,0,9,0,0,5,0,0.0
0,0,9,0,0,5,1,0.0
0,0,9,0,0,5,2,0.0
0,0,9,0,0,5,3,0.0
0,0,9,0,0,5,4,0.0
0,0,9,0,0,5,5,0.0
0,0,9,0,0,5,6,0.0
0,0,9,0,0,5,7,0.0
0,0,9,0,0,5,8,0.0
0,0,9,0,0,5,9,0.0
0,0,9,0,0,5,10,0.0
0,10,9,3,9,5,0,0.20286319123939325
0,10,9,3,9,5,1,0.19182210357474305
0,10,9,3,9,5,2,0.2165248024321208
0,10,9,3,9,5,3,0.3429007086896912
0,10,9,3,9,5,4,0.3120811247001681
0,10,9,3,9,5,5,0.3803544282425364
0,10,9,3,9,5,6,0.3888588530568686
0,10,9,3,9,5,7,0.44740376919405583
0,10,9,3,9,5,8,0.6024354596979279
0,10,9,3,9,5,9,0.7741575925914189
0,10,9,3,9,5,10,0.2533858756823097
5,7,9,3,3,5,0,0.456585352255681
5,7,9,3,3,5,1,0.45267886501467314
5,7,9,3,3,5,2,0.4484710035823685
5,7,9,3,3,5,3,0.4484710035823685
5,7,9,3,3,5,4,0.45267886501467314
5,7,9,3,3,5,5,0.45990178128572373
5,7,9,3,3,5,6,0.45618074256432595
5,7,9,3,3,5,7,0.5154630254573144
5,7,9,3,3,5,8,0.5154630254573144
5,7,9,3,3,5,9,0.5154630254573144
5,7,9,3,3,5,10,0.43208456128343836
8,6,9,3,2,5,0,0.13342821428694446
8,6,9,3,2,5,1,0.1507357742263601
8,6,9,3,2,5,2,0.20790933673815695
8,6,9,3,2,5,3,0.1991596585892221
8,6,9,3,2,5,4,0.35212339396526154
8,6,9,3,2,5,5,0.2662008222156818
8,6,9,3,2,5,6,0.27562502698734836
8,6,9,3,2,5,7,0.27562502698734836
8,6,9,3,2,5,8,0.27562502698734836
8,6,9,3,2,5,9,0.27562502698734836
8,6,9,3,2,5,10,0.12680421158970093
6,7,9,0,3,5,0,0.1885373885367436
6,7,9,0,3,5,1,0.4508161431318272
6,7,9,0,3,5,2,0.43208456128343836
6,7,9,0,3,5,3,0.4361824612956343
6,7,9,0,3,5,4,0.3959306027941916
6,7,9,0,3,5,5,0.45990178128572373
6,7,9,0,3,5,6,0.4748804019613532
6,7,9,0,3,5,7,0.5154630254573144
6,7,9,0,3,5,8,0.5154630254573144
6,7,9,0,3,5,9,0.5154630254573144
6,7,9,0,3,5,10,0.22594849960334915
0,3,9,3,1,5,0,0.27167875284502024
0,3,9,3,1,5,1,0.33841641612348494
0,3,9,3,1,5,2,0.4189873089200903
0,3,9,3,1,5,3,0.4189873089200903
0,3,9,3,1,5,4,0.4189873089200903
0,3,9,3,1,5,5,0.4189873089200903
0,3,9,3,1,5,6,0.4189873089200903
0,3,9,3,1,5,7,0.4189873089200903
0,3,9,3,1,5,8,0.4189873089200903
0,3,9,3,1,5,9,0.4189873089200903
0,3,9,3,1,5,10,0.2239030202559188
6,5,9,2,1,5,0,0.1703386300605131
6,5,9,2,1,5,1,0.23221118226121126
6,5,9,2,1,5,2,0.30099765637136894
6,5,9,2,1,5,3,0.3767052332036773
6,5,9,2,1,5,4,0.46068913002094036
6,5,9,2,1,5,5,0.46068913002094036
6,5,9,2,1,5,6,0.46068913002094036
6,5,9,2,1,5,7,0.46068913002094036
6,5,9,2,1,5,8,0.46068913002094036
6,5,9,2,1,5,9,0.46068913002094036
6,5,9,2,1,5,10,0.11626522822891003
3,4,9,0,1,5,0,0.24181006867183924
3,4,9,0,1,5,1,0.23663138767382702
3,4,9,0,1,5,2,0.23748075698413906
3,4,9,0,1,5,3,0.252597217544496
3,4,9,0,1,5,4,0.252597217544496
3,4,9,0,1,5,5,0.252597217544496
