Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15,0,5,4,5,5,no trade ,0
1,15,0,4,4,4,2,-0.026399888842573292,2380
2,11,0,4,3,5,2,-0.04946505488397944,1800
3,8,0,4,3,5,1,-0.05009031540919828,969
4,7,0,4,3,4,2,-0.03827983882173128,1576
5,4,0,6,3,4,4,-0.028692510768375715,3275
6,0,0,4,0,5,0,no trade ,0
7,0,0,5,0,4,0,no trade ,0
8,0,0,6,0,5,0,no trade ,0
9,0,0,4,0,4,0,no trade ,0
10,0,0,5,0,4,0,no trade ,0
11,0,0,5,0,5,0,no trade ,0
12,0,0,3,0,4,0,no trade ,0
13,0,0,3,0,4,0,no trade ,0
14,0,0,4,0,4,0,no trade ,0
15,0,0,4,0,4,0,no trade ,0
0,15,0,3,5,5,5,no trade ,0
1,15,0,7,6,4,5,no trade ,0
2,15,0,4,7,4,5,no trade ,0
3,15,0,3,8,4,5,no trade ,0
4,15,5,3,9,4,5,no trade ,0
5,15,0,3,8,5,5,no trade ,0
6,15,0,3,8,5,5,no trade ,0
7,15,0,3,8,4,0,0.0451435913463208,900
8,13,0,3,7,4,5,no trade ,0
9,13,0,4,7,4,5,no trade ,0
10,13,5,4,8,5,5,no trade ,0
11,13,0,3,8,4,1,0.05063027398687363,998
12,12,0,4,8,5,2,0.04500468798833212,2247
13,8,5,4,7,5,1,0.02264124735215474,1250
14,6,0,4,8,5,1,0.0434072993714623,1628
15,4,0,3,8,5,5,0.06104802583602459,2977
0,15,0,5,7,5,5,no trade ,0
1,15,0,5,7,5,5,no trade ,0
2,15,0,3,6,5,5,no trade ,0
3,15,0,4,5,5,5,no trade ,0
4,15,0,4,5,5,5,no trade ,0
5,15,0,2,4,5,3,-0.01903504810865261,2292
6,11,0,5,5,5,5,no trade ,0
7,11,0,4,5,4,1,-0.01229636319427559,750
8,10,5,4,6,4,1,0.023272777797075272,1670
9,7,0,5,7,5,5,no trade ,0
10,7,0,5,7,5,5,no trade ,0
11,7,0,5,7,4,5,no trade ,0
12,7,0,5,6,4,1,0.03605543784084199,1430
13,5,0,4,4,4,1,-0.014033137656743896,1550
14,3,0,2,5,4,2,-0.0034735489249366077,750
15,2,0,4,5,5,3,0.0045850845809163225,1558
0,15,0,4,5,5,5,no trade ,0
1,15,0,3,4,4,0,0.0034752389226759338,200
2,14,0,2,4,4,5,no trade ,0
3,14,0,4,3,4,3,0.001320590790616855,3020
4,10,0,2,3,5,5,no trade ,0
5,10,0,4,3,4,2,0.012580364900086882,2217
6,6,0,4,4,5,1,0.014874022589052998,1120
7,5,0,3,2,5,2,-0.01779322328410078,1950
8,2,0,2,1,5,3,-0.052545612510860124,1493
9,0,0,4,0,5,0,no trade ,0
10,0,5,5,0,4,0,no trade ,0
11,0,5,5,0,4,0,no trade ,0
12,0,0,4,0,4,0,no trade ,0
13,0,0,4,0,4,0,no trade ,0
14,0,5,5,0,4,0,no trade ,0
15,0,0,3,0,5,0,no trade ,0
0,15,0,4,3,5,2,0.05925513787947282,2100
1,11,0,3,2,4,5,no trade ,0
2,11,0,6,1,5,5,no trade ,0
3,11,5,4,1,4,5,no trade ,0
4,11,5,3,2,5,5,no trade ,0
5,11,0,4,3,4,2,0.04791876760440936,1749
6,9,5,4,3,4,5,no trade ,0
7,9,5,4,3,4,5,no trade ,0
8,9,0,5,3,5,1,0.06328893834544633,1250
9,7,5,3,3,5,5,no trade ,0
10,7,0,2,3,5,5,no trade ,0
11,7,0,2,3,5,1,0.05647320652362903,798
12,6,0,1,3,5,2,0.06607086970129013,523
13,5,0,2,3,5,0,0.04520638453246166,200
14,5,0,3,3,5,1,0.060576555273498624,127
15,4,0,3,2,5,3,0.04771012275272108,3253
0,15,0,3,0,5,5,no trade ,0
1,15,0,0,0,4,1,0.00041743486276828883,1150
2,13,0,4,1,4,5,no trade ,0
3,13,0,4,1,5,5,no trade ,0
4,13,0,4,2,4,4,0.08167808814832853,4563
5,6,0,4,1,4,1,0.0560754165652068,1892
6,3,5,5,0,5,5,no trade ,0
7,3,0,5,0,5,5,no trade ,0
8,3,0,4,1,5,0,0.04522211013323129,600
9,2,0,4,0,4,0,0.03130761470762166,231
10,2,0,3,0,5,0,0.010435871569207222,900
11,0,0,2,0,5,0,no trade ,0
12,0,0,5,0,4,0,0.017393119282012037,450
13,0,0,5,0,4,0,0.024350366994816852,214
14,0,0,4,0,4,0,no trade ,0
15,0,5,4,0,4,0,no trade ,0
0,15,5,3,0,5,5,no trade ,0
1,15,0,1,0,4,1,-0.03269678945354621,1050
2,13,0,4,0,4,5,no trade ,0
3,13,0,4,1,5,5,no trade ,0
4,13,5,4,1,5,5,no trade ,0
5,13,5,2,0,5,5,no trade ,0
6,13,0,2,0,4,5,no trade ,0
7,13,0,1,0,5,5,no trade ,0
8,13,5,0,0,5,0,-0.06608925527844448,500
