Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15,0,4,4,5,5,no trade ,0
1,15,0,4,4,5,5,no trade ,0
2,15,5,4,3,4,5,no trade ,0
3,15,0,4,3,4,5,no trade ,0
4,15,5,5,3,4,5,no trade ,0
5,15,5,5,3,5,5,no trade ,0
6,15,0,5,4,5,5,no trade ,0
7,15,0,6,3,6,5,no trade ,0
8,15,0,5,3,5,5,no trade ,0
9,15,5,5,2,5,5,no trade ,0
10,15,0,5,2,5,5,no trade ,0
11,15,0,2,4,4,5,no trade ,0
12,15,0,3,5,5,5,no trade ,0
13,15,5,3,5,4,5,no trade ,0
14,15,0,4,4,4,5,no trade ,0
15,15,5,5,5,5,5,0.0036122399360911397,10000
0,15,0,6,6,5,5,no trade ,0
1,15,5,6,6,4,5,no trade ,0
2,15,0,5,7,4,5,no trade ,0
3,15,5,3,8,4,5,no trade ,0
4,15,5,5,9,5,5,no trade ,0
5,15,0,3,8,5,5,no trade ,0
6,15,0,4,8,4,5,no trade ,0
7,15,5,3,7,5,5,no trade ,0
8,15,0,5,7,5,5,no trade ,0
9,15,5,4,7,4,5,no trade ,0
10,15,5,4,8,4,5,no trade ,0
11,15,5,3,8,5,5,no trade ,0
12,15,0,5,7,5,5,no trade ,0
13,15,0,4,8,5,5,no trade ,0
14,15,0,4,8,5,5,no trade ,0
15,15,0,4,8,5,5,0.03631692243594195,10000
0,15,0,4,7,5,5,no trade ,0
1,15,0,5,7,4,5,no trade ,0
2,15,0,4,5,4,5,no trade ,0
3,15,5,4,5,4,5,no trade ,0
4,15,0,2,4,5,5,no trade ,0
5,15,0,3,5,4,5,no trade ,0
6,15,0,4,5,4,5,no trade ,0
7,15,0,4,5,4,5,no trade ,0
8,15,5,5,6,4,5,no trade ,0
9,15,0,3,7,5,5,no trade ,0
10,15,0,5,7,5,5,no trade ,0
11,15,0,5,7,4,5,no trade ,0
12,15,0,4,6,4,5,no trade ,0
13,15,0,3,5,4,5,no trade ,0
14,15,5,4,5,4,5,no trade ,0
15,15,0,4,6,4,5,0.06942562284999479,10000
0,15,0,2,4,5,5,no trade ,0
1,15,5,3,3,4,5,no trade ,0
2,15,0,2,3,5,5,no trade ,0
3,15,0,3,4,4,5,no trade ,0
4,15,0,2,2,4,5,no trade ,0
5,15,5,2,3,5,5,no trade ,0
6,15,0,3,4,4,5,no trade ,0
7,15,0,3,3,5,5,no trade ,0
8,15,0,3,1,4,5,no trade ,0
9,15,5,5,3,3,5,no trade ,0
10,15,0,5,3,5,5,no trade ,0
11,15,0,5,3,5,5,no trade ,0
12,15,0,3,2,5,5,no trade ,0
13,15,0,3,2,5,5,no trade ,0
14,15,0,4,2,5,5,no trade ,0
15,15,0,3,3,5,5,0.02787722896172964,10000
0,15,5,3,3,5,5,no trade ,0
1,15,0,3,2,5,5,no trade ,0
2,15,0,3,1,5,5,no trade ,0
3,15,5,4,1,4,5,no trade ,0
4,15,0,2,1,5,5,no trade ,0
5,15,5,4,3,5,5,no trade ,0
6,15,0,4,3,4,5,no trade ,0
7,15,0,4,3,5,5,no trade ,0
8,15,0,4,3,4,5,no trade ,0
9,15,0,4,3,4,5,no trade ,0
10,15,5,2,3,5,5,no trade ,0
11,15,0,2,3,4,5,no trade ,0
12,15,0,2,3,4,5,no trade ,0
13,15,0,4,3,5,5,no trade ,0
14,15,0,3,3,4,5,no trade ,0
15,15,5,1,2,5,5,0.06845455494104143,10000
0,15,0,1,0,5,5,no trade ,0
1,15,0,4,0,5,5,no trade ,0
2,15,0,3,2,5,5,no trade ,0
3,15,5,3,1,4,5,no trade ,0
4,15,5,6,2,5,5,no trade ,0
5,15,5,3,1,5,5,no trade ,0
6,15,0,3,0,5,5,no trade ,0
7,15,0,5,1,4,5,no trade ,0
8,15,5,4,1,5,5,no trade ,0
9,15,5,5,2,4,5,no trade ,0
10,15,0,4,0,5,5,no trade ,0
11,15,0,4,0,4,5,no trade ,0
12,15,5,4,1,4,5,no trade ,0
13,15,5,4,1,5,5,no trade ,0
14,15,0,4,1,5,5,no trade ,0
15,15,0,1,0,5,5,0.047385450370525,10000
0,15,0,2,0,5,5,no trade ,0
1,15,0,4,0,5,5,no trade ,0
2,15,0,5,0,5,5,no trade ,0
3,15,0,4,1,4,5,no trade ,0
4,15,0,4,1,5,5,no trade ,0
5,15,5,3,0,4,5,no trade ,0
6,15,0,3,0,5,5,no trade ,0
7,15,0,1,0,5,5,no trade ,0
8,15,5,1,0,3,5,no trade ,0
9,15,0,4,0,5,5,no trade ,0
10,15,0,4,0,5,5,no trade ,0
11,15,5,4,0,4,5,no trade ,0
12,15,0,5,0,4,5,no trade ,0
13,15,5,4,0,5,5,no trade ,0
14,15,0,3,0,5,5,no trade ,0
15,15,0,4,1,4,5,0.08135286544416993,10000
0,15,5,3,0,5,5,no trade ,0
1,15,5,3,0,5,5,no trade ,0
2,15,0,4,0,5,5,no trade ,0
3,15,0,4,0,5,5,no trade ,0
4,15,0,5,0,4,5,no trade ,0
5,15,0,5,0,4,5,no trade ,0
6,15,0,4,0,4,5,no trade ,0
7,15,0,3,0,5,5,no trade ,0
8,15,0,4,0,5,5,no trade ,0
9,15,0,4,0,5,5,no trade ,0
10,15,0,3,0,5,5,no trade ,0
11,15,0,3,0,5,5,no trade ,0
12,15,0,3,0,4,5,no trade ,0
13,15,0,2,0,5,5,no trade ,0
14,15,0,5,1,5,5,no trade ,0
15,15,5,4,1,4,5,0.03595771317290304,10000
0,15,5,4,3,5,5,no trade ,0
1,15,5,4,3,4,5,no trade ,0
2,15,5,4,4,4,5,no trade ,0
3,15,0,3,3,4,5,no trade ,0
4,15,9,5,3,4,5,no trade ,0
5,15,5,5,3,4,5,no trade ,0
6,15,0,5,3,5,5,no trade ,0
7,15,0,4,2,5,5,no trade ,0
8,15,0,5,3,4,5,no trade ,0
9,15,0,5,2,5,5,no trade ,0
10,15,5,4,2,4,5,no trade ,0
11,15,5,5,3,5,5,no trade ,0
12,15,5,3,5,5,5,no trade ,0
13,15,0,4,5,5,5,no trade ,0
14,15,0,2,4,5,5,no trade ,0
15,15,5,4,5,4,5,0.004307200666921394,10000
0,15,5,3,5,5,5,no trade ,0
1,15,5,5,6,4,5,no trade ,0
2,15,5,7,6,4,5,no trade ,0
3,15,0,4,7,5,5,no trade ,0
4,15,0,4,8,4,5,no trade ,0
5,15,0,3,9,5,5,no trade ,0
6,15,0,4,9,4,5,no trade ,0
7,15,0,3,8,4,5,no trade ,0
8,15,0,4,8,5,5,no trade ,0
9,15,0,4,7,4,5,no trade ,0
10,15,0,4,8,4,5,no trade ,0
11,15,0,3,8,5,5,no trade ,0
12,15,5,4,8,5,5,no trade ,0
13,15,0,5,7,5,5,no trade ,0
14,15,0,5,8,5,5,no trade ,0
15,15,0,5,8,5,5,0.025065092865821904,10000
0,15,5,5,7,5,5,no trade ,0
1,15,5,4,7,5,5,no trade ,0
2,15,0,4,7,4,5,no trade ,0
3,15,0,5,5,5,5,no trade ,0
4,15,0,4,6,5,5,no trade ,0
5,15,0,3,4,3,5,no trade ,0
6,15,0,4,5,5,5,no trade ,0
7,15,0,4,5,5,5,no trade ,0
8,15,0,2,5,4,5,no trade ,0
9,15,0,5,7,4,5,no trade ,0
10,15,0,4,7,4,5,no trade ,0
11,15,0,6,7,4,5,no trade ,0
12,15,0,3,7,5,5,no trade ,0
13,15,5,4,6,4,5,no trade ,0
14,15,5,4,6,4,5,no trade ,0
15,15,0,3,5,5,5,0.012641961587885945,10000
0,15,0,3,5,5,5,no trade ,0
1,15,5,3,4,5,5,no trade ,0
2,15,5,3,3,4,5,no trade ,0
3,15,0,2,3,5,5,no trade ,0
4,15,5,3,3,4,5,no trade ,0
5,15,0,4,3,5,5,no trade ,0
6,15,5,4,3,5,5,no trade ,0
7,15,0,2,3,5,5,no trade ,0
8,15,0,4,2,5,5,no trade ,0
9,15,5,4,2,4,5,no trade ,0
10,15,0,4,3,3,5,no trade ,0
11,15,5,5,3,5,5,no trade ,0
12,15,0,3,2,5,5,no trade ,0
13,15,0,3,2,5,5,no trade ,0
14,15,0,5,3,4,5,no trade ,0
15,15,0,3,3,4,5,-0.0008340573414422242,10000
0,15,0,4,4,5,5,no trade ,0
1,15,0,3,2,4,5,no trade ,0
2,15,0,5,2,5,5,no trade ,0
3,15,0,4,1,5,5,no trade ,0
4,15,0,5,2,4,5,no trade ,0
5,15,0,3,2,4,5,no trade ,0
6,15,0,4,2,5,5,no trade ,0
7,15,0,4,3,5,5,no trade ,0
8,15,0,3,3,4,5,no trade ,0
9,15,5,4,4,5,5,no trade ,0
10,15,5,2,3,4,5,no trade ,0
11,15,0,2,3,5,5,no trade ,0
12,15,0,2,3,5,5,no trade ,0
13,15,0,3,3,5,5,no trade ,0
14,15,0,3,3,4,5,no trade ,0
15,15,5,4,3,5,5,0.07824454026985674,10000
0,15,0,2,1,5,5,no trade ,0
1,15,5,1,0,4,5,no trade ,0
2,15,5,4,1,5,5,no trade ,0
3,15,0,5,2,4,5,no trade ,0
4,15,0,6,2,5,5,no trade ,0
5,15,0,3,1,4,5,no trade ,0
6,15,0,3,0,5,5,no trade ,0
7,15,5,5,0,4,5,no trade ,0
8,15,0,4,1,5,5,no trade ,0
9,15,5,5,1,5,5,no trade ,0
10,15,0,4,1,5,5,no trade ,0
11,15,0,3,1,5,5,no trade ,0
12,15,5,2,0,4,5,no trade ,0
13,15,9,3,1,5,5,no trade ,0
14,15,5,3,1,5,5,no trade ,0
15,15,5,4,1,5,5,0.040137734339675143,10000
0,15,5,4,0,5,5,no trade ,0
1,15,5,1,0,4,5,no trade ,0
2,15,5,4,0,4,5,no trade ,0
3,15,0,5,1,5,5,no trade ,0
4,15,0,5,1,4,5,no trade ,0
5,15,5,4,0,5,5,no trade ,0
6,15,0,1,0,5,5,no trade ,0
7,15,5,2,0,5,5,no trade ,0
8,15,0,2,0,5,5,no trade ,0
9,15,0,2,0,4,5,no trade ,0
10,15,0,2,0,4,5,no trade ,0
11,15,0,4,0,4,5,no trade ,0
12,15,0,3,0,4,5,no trade ,0
13,15,0,4,0,5,5,no trade ,0
14,15,5,3,1,4,5,no trade ,0
15,15,5,3,0,4,5,0.005147288978541369,10000
0,15,0,4,0,5,5,no trade ,0
1,15,0,3,0,5,5,no trade ,0
2,15,0,5,0,5,5,no trade ,0
3,15,5,6,0,5,5,no trade ,0
4,15,0,4,0,5,5,no trade ,0
5,15,5,3,0,5,5,no trade ,0
6,15,0,4,0,5,5,no trade ,0
7,15,0,3,0,4,5,no trade ,0
8,15,5,3,0,4,5,no trade ,0
9,15,5,3,0,4,5,no trade ,0
10,15,0,4,0,4,5,no trade ,0
11,15,0,4,0,5,5,no trade ,0
12,15,0,2,0,5,5,no trade ,0
13,15,5,2,0,4,5,no trade ,0
14,15,0,3,0,4,5,no trade ,0
15,15,0,4,1,5,5,0.02142310635042081,10000
0,15,0,5,4,5,5,no trade ,0
1,15,5,4,4,5,5,no trade ,0
2,15,5,5,3,4,5,no trade ,0
3,15,0,4,3,5,5,no trade ,0
4,15,0,4,3,5,5,no trade ,0
5,15,0,7,3,5,5,no trade ,0
6,15,0,4,3,4,5,no trade ,0
7,15,0,5,3,5,5,no trade ,0
8,15,0,6,3,5,5,no trade ,0
9,15,5,4,2,5,5,no trade ,0
10,15,0,4,2,4,5,no trade ,0
11,15,0,4,3,5,5,no trade ,0
12,15,0,3,5,4,5,no trade ,0
13,15,0,3,4,5,5,no trade ,0
14,15,0,4,4,5,5,no trade ,0
15,15,0,4,5,5,5,0.015839933305543976,10000
0,15,5,5,6,5,5,no trade ,0
1,15,0,8,6,5,5,no trade ,0
2,15,0,5,7,5,5,no trade ,0
3,15,0,4,8,4,5,no trade ,0
4,15,0,4,9,4,5,no trade ,0
5,15,0,4,8,4,5,no trade ,0
6,15,0,4,8,5,5,no trade ,0
7,15,5,3,8,5,5,no trade ,0
8,15,0,4,7,5,5,no trade ,0
9,15,0,3,7,4,5,no trade ,0
10,15,5,4,8,4,5,no trade ,0
