Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Expected Payout
0,0,9,0,0,5,0,0.0
0,0,9,0,0,5,1,0.0
0,0,9,0,0,5,2,0.0
0,0,9,0,0,5,3,0.0
0,0,9,0,0,5,4,0.0
0,0,9,0,0,5,5,0.0
0,0,9,0,0,5,6,0.0
0,0,9,0,0,5,7,0.0
0,0,9,0,0,5,8,0.0
0,0,9,0,0,5,9,0.0
0,0,9,0,0,5,10,0.0
0,10,9,3,9,5,0,0.16885852132225887
0,10,9,3,9,5,1,0.19182210357474308
0,10,9,3,9,5,2,0.2165248024321208
0,10,9,3,9,5,3,0.24468840857746887
0,10,9,3,9,5,4,0.27674446777341366
0,10,9,3,9,5,5,0.296836754275769
0,10,9,3,9,5,6,0.3346904509424673
0,10,9,3,9,5,7,0.41692733173192864
0,10,9,3,9,5,8,0.5792251296392474
0,10,9,3,9,5,9,0.7649068358010596
0,10,9,3,9,5,10,0.14949976022624928
5,7,9,3,3,5,0,0.1634477205094752
5,7,9,3,3,5,1,0.20666179230608
5,7,9,3,3,5,2,0.25195592698775254
5,7,9,3,3,5,3,0.301100159767697
5,7,9,3,3,5,4,0.3544412169929714
5,7,9,3,3,5,5,0.3867822058833431
5,7,9,3,3,5,6,0.45618074256432606
5,7,9,3,3,5,7,0.5154630254573144
5,7,9,3,3,5,8,0.5154630254573144
5,7,9,3,3,5,9,0.5154630254573144
5,7,9,3,3,5,10,0.12975515679441957
8,6,9,3,2,5,0,0.13342821428694443
8,6,9,3,2,5,1,0.1507357742263601
8,6,9,3,2,5,2,0.17119667527806365
8,6,9,3,2,5,3,0.19915965858922208
8,6,9,3,2,5,4,1.1897905544651897
8,6,9,3,2,5,5,0.7326315064883197
8,6,9,3,2,5,6,0.27562502698734836
8,6,9,3,2,5,7,0.27562502698734836
8,6,9,3,2,5,8,0.27562502698734836
8,6,9,3,2,5,9,0.27562502698734836
8,6,9,3,2,5,10,0.12146449486121362
6,7,9,0,3,5,0,0.1634477205094752
6,7,9,0,3,5,1,0.20666179230608
6,7,9,0,3,5,2,0.2519559269877525
6,7,9,0,3,5,3,0.301100159767697
6,7,9,0,3,5,4,0.3544412169929714
6,7,9,0,3,5,5,0.38678220588334317
6,7,9,0,3,5,6,0.456180742564326
6,7,9,0,3,5,7,0.5154630254573144
6,7,9,0,3,5,8,0.5154630254573144
6,7,9,0,3,5,9,0.5154630254573144
6,7,9,0,3,5,10,0.12975515679441957
0,3,9,3,1,5,0,0.18984503715198134
0,3,9,3,1,5,1,0.29665440356837514
0,3,9,3,1,5,2,0.41898730892009023
0,3,9,3,1,5,3,0.4189873089200903
0,3,9,3,1,5,4,0.4189873089200903
0,3,9,3,1,5,5,0.41898730892009023
0,3,9,3,1,5,6,0.41898730892009023
0,3,9,3,1,5,7,0.4189873089200902
0,3,9,3,1,5,8,0.4189873089200903
0,3,9,3,1,5,9,0.4189873089200903
0,3,9,3,1,5,10,0.09858316876934883
6,5,9,2,1,5,0,0.1703386300605131
6,5,9,2,1,5,1,0.23221118226121124
6,5,9,2,1,5,2,0.30099765637136894
6,5,9,2,1,5,3,0.3767052332036772
6,5,9,2,1,5,4,0.46068913002094053
6,5,9,2,1,5,5,0.4606891300209405
6,5,9,2,1,5,6,0.46068913002094053
6,5,9,2,1,5,7,0.46068913002094053
6,5,9,2,1,5,8,0.4606891300209405
6,5,9,2,1,5,9,0.46068913002094053
6,5,9,2,1,5,10,0.11626522822891003
3,4,9,0,1,5,0,0.12769524595186588
3,4,9,0,1,5,1,0.16056225827044646
3,4,9,0,1,5,2,0.19945274623704384
3,4,9,0,1,5,3,0.252597217544496
3,4,9,0,1,5,4,0.252597217544496
3,4,9,0,1,5,5,0.252597217544496
