Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
0,10,3,0,0,0.07157455395255384,100
1,9,3,0,0,no trade ,0
2,9,2,9,0,-0.026732664729267094,900
3,0,2,6,0,no trade ,0
4,0,2,6,0,no trade ,0
5,0,1,5,0,no trade ,0
6,0,1,5,0,no trade ,0
7,0,5,5,0,no trade ,0
8,0,5,5,0,no trade ,0
9,0,3,5,0,no trade ,0
10,0,7,6,0,no trade ,0
0,10,2,5,0,-0.2906951668693769,2
1,9,3,5,10,no trade ,0
2,9,3,2,0,-0.3390005951918847,100
3,8,3,2,0,-0.3407257890605457,100
4,7,4,3,0,-0.2906951668693769,100
5,6,4,6,10,no trade ,0
6,6,1,3,2,-0.29661258183888417,350
7,3,2,2,1,-0.23952591672489193,300
8,0,2,3,0,-0.31657307489929176,48
9,0,3,1,0,no trade ,0
10,0,3,1,0,no trade ,0
0,10,1,3,2,-0.30811962494285294,1000
1,0,1,2,0,no trade ,0
2,0,3,2,0,no trade ,0
3,0,2,2,0,no trade ,0
4,0,3,2,0,no trade ,0
5,0,3,2,0,no trade ,0
6,0,3,2,0,no trade ,0
7,0,3,2,0,no trade ,0
8,0,2,2,0,no trade ,0
9,0,2,2,0,no trade ,0
10,0,2,2,0,no trade ,0
0,10,2,3,1,-0.4494130027861881,200
1,8,2,3,1,no trade ,0
2,8,3,3,1,-0.4338862579682392,100
3,7,1,3,10,no trade ,0
4,7,2,3,1,-0.47011532921011995,100
5,6,2,3,1,no trade ,0
6,6,2,3,1,no trade ,0
7,6,3,3,1,-0.468390135341459,100
8,5,2,3,1,no trade ,0
9,5,2,3,1,no trade ,0
10,5,2,3,0,-0.3790250929448197,500
0,10,2,3,1,-0.4469331584714541,200
1,8,2,3,1,no trade ,0
2,8,2,3,1,no trade ,0
3,8,2,3,1,no trade ,0
4,8,2,2,1,no trade ,0
5,8,2,2,1,no trade ,0
6,8,2,2,1,no trade ,0
7,8,2,2,1,no trade ,0
8,8,2,2,1,no trade ,0
9,8,5,2,0,-0.4115581401368409,100
10,7,1,2,0,-0.4399099231240455,700
0,10,2,2,1,-0.4994867105478825,200
1,8,1,3,10,no trade ,0
2,8,3,1,0,-0.5374442498641292,100
3,7,2,2,1,-0.5337520164942762,700
4,0,2,3,0,no trade ,0
5,0,1,3,0,no trade ,0
6,0,4,3,0,no trade ,0
7,0,2,3,0,no trade ,0
8,0,3,3,0,no trade ,0
9,0,3,1,0,no trade ,0
