Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15,5,5,4,5,0,-0.017370158068438425,1420
1,12,5,4,4,4,0,no trade ,0
2,12,0,4,4,4,0,-0.03126628452318916,500
3,12,5,4,3,5,3,-0.039187076602397085,2552
4,8,5,4,3,5,2,-0.026333159631752652,1404
5,6,0,7,3,4,1,-0.030571478200451623,336
6,5,5,5,3,5,1,-0.03522668056279312,1600
7,3,0,4,2,4,2,-0.0432169532742748,2188
8,0,0,5,0,5,0,no trade ,0
9,0,0,5,0,5,0,no trade ,0
10,0,0,3,0,3,0,no trade ,0
11,0,0,4,0,4,0,no trade ,0
12,0,0,3,0,5,0,no trade ,0
13,0,0,3,0,5,0,no trade ,0
14,0,0,3,0,4,0,no trade ,0
15,0,0,5,0,5,0,no trade ,0
0,15,5,3,5,5,5,no trade ,0
1,15,5,7,6,5,5,no trade ,0
2,15,5,5,7,2,5,no trade ,0
3,15,0,4,8,4,5,no trade ,0
4,15,0,4,9,4,5,no trade ,0
5,15,0,3,8,5,5,no trade ,0
6,15,5,4,9,5,5,no trade ,0
7,15,0,3,8,5,5,no trade ,0
8,15,0,4,7,4,5,no trade ,0
9,15,0,4,7,4,5,no trade ,0
10,15,0,4,8,5,0,0.038195770686482174,300
11,14,5,4,8,5,0,0.038195770686482174,900
12,13,0,3,8,4,2,0.034098406194659536,1973
13,10,0,5,7,5,2,0.023681377825618945,2148
14,7,5,4,8,4,2,0.04430709399631932,2803
15,2,5,2,8,4,0,0.06215493593527553,1876
0,15,0,4,6,5,5,no trade ,0
1,15,5,4,7,5,5,no trade ,0
2,15,5,4,6,5,5,no trade ,0
3,15,0,4,5,5,5,no trade ,0
4,15,5,3,5,5,5,no trade ,0
5,15,5,3,4,6,1,-0.03250903028619061,2221
6,11,0,5,5,5,5,no trade ,0
7,11,5,3,5,5,5,no trade ,0
8,11,0,4,5,4,1,-0.0015282022784106697,950
9,10,0,5,7,5,5,no trade ,0
10,10,5,5,7,4,5,no trade ,0
11,10,5,5,7,5,5,no trade ,0
12,10,0,5,6,5,0,0.02778549597110308,1400
13,8,0,3,5,5,2,-0.004792998055015282,1670
14,5,5,2,5,5,1,no trade ,0
15,5,0,4,6,5,0,0.019588774659627675,3759
0,15,0,3,5,5,5,no trade ,0
1,15,0,3,3,5,5,no trade ,0
2,15,5,4,4,4,1,0.021339450178987245,1750
3,12,0,3,3,5,1,0.007993605115907274,1450
4,10,0,3,3,6,5,no trade ,0
5,10,0,2,3,5,0,-0.010426441455531227,200
6,9,0,4,4,5,2,0.027734334271713065,2268
7,6,5,3,3,5,0,-0.003475480485177076,1200
8,4,0,2,1,4,2,-0.036979112362284086,1650
9,2,5,5,2,4,0,-0.02432836339623953,300
10,1,0,5,2,4,2,-0.006255864873318736,1182
11,0,5,5,0,4,0,no trade ,0
12,0,0,4,0,5,0,no trade ,0
13,0,0,4,0,5,0,no trade ,0
14,0,5,4,0,5,0,no trade ,0
15,0,0,5,0,5,0,no trade ,0
0,15,0,2,3,5,5,no trade ,0
1,15,0,3,2,5,5,no trade ,0
2,15,0,5,2,5,3,0.04291726080756791,3708
3,9,0,4,0,4,5,no trade ,0
4,9,0,4,2,5,5,no trade ,0
5,9,5,4,2,4,0,0.05216846937710848,400
6,8,5,3,2,5,0,0.045212673460160675,400
7,8,0,3,3,5,0,0.05912426529405627,200
8,7,5,3,3,4,5,no trade ,0
