Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
0,10,3,0,0,0.07157455395255384,100
1,9,3,0,0,no trade ,0
2,9,2,9,10,no trade ,0
3,9,1,6,5,-0.030751187878892406,900
4,0,1,5,0,no trade ,0
5,0,1,5,0,no trade ,0
6,0,1,5,0,no trade ,0
7,0,4,4,0,no trade ,0
8,0,5,4,0,no trade ,0
9,0,3,4,0,no trade ,0
10,0,7,5,0,no trade ,0
0,10,2,6,1,-0.010609942292265093,502
1,4,3,5,10,no trade ,0
2,4,2,1,10,no trade ,0
3,4,2,2,10,no trade ,0
4,4,4,2,10,no trade ,0
5,4,4,6,10,no trade ,0
6,4,1,2,3,-0.29630204694252515,351
7,1,2,1,1,-0.2596416772334791,147
8,0,2,3,0,no trade ,0
9,0,3,1,0,no trade ,0
10,0,3,1,0,no trade ,0
0,10,1,3,10,no trade ,0
1,10,1,3,10,no trade ,0
2,10,3,3,2,-0.43043587023091723,300
3,7,2,3,3,-0.4356114518369002,300
4,4,3,3,10,no trade ,0
5,4,2,3,3,no trade ,0
6,4,3,3,2,no trade ,0
7,4,3,3,2,-0.44768780891752713,100
8,3,2,3,3,-0.4494130027861881,100
9,2,2,3,2,no trade ,0
10,2,2,3,0,-0.3010463300813429,200
0,10,2,3,10,no trade ,0
1,10,2,3,10,no trade ,0
2,10,2,3,3,-0.39808848519352363,400
3,6,1,3,3,-0.4620759257821598,300
4,3,2,3,10,no trade ,0
5,3,2,3,3,-0.41835951315029024,200
6,1,2,3,10,no trade ,0
7,1,2,3,10,no trade ,0
8,1,2,3,10,no trade ,0
9,1,2,3,1,-0.468390135341459,100
10,0,2,3,0,no trade ,0
0,10,2,3,10,no trade ,0
1,10,2,3,10,no trade ,0
2,10,2,3,3,-0.43399107859293706,400
3,6,2,3,3,no trade ,0
4,6,2,2,10,no trade ,0
5,6,2,2,10,no trade ,0
6,6,2,2,10,no trade ,0
7,6,2,2,10,no trade ,0
8,6,2,2,10,no trade ,0
9,6,4,2,2,-0.4029300868844963,200
10,4,1,2,0,-0.4814453714808328,400
0,10,2,2,8,-0.4186026449503532,900
1,1,1,3,2,-0.6306127554585529,100
2,0,3,2,0,no trade ,0
3,0,2,2,0,no trade ,0
4,0,2,3,0,no trade ,0
5,0,1,3,0,no trade ,0
6,0,4,3,0,no trade ,0
7,0,2,3,0,no trade ,0
8,0,3,3,0,no trade ,0
9,0,3,1,0,no trade ,0
10,0,1,2,0,no trade ,0
0,10,1,1,10,no trade ,0
1,10,2,3,10,no trade ,0
2,10,2,3,3,-0.6017378398667714,247
3,7,3,0,0,-0.6048787222476293,80
4,6,2,2,10,no trade ,0
5,6,2,3,10,no trade ,0
6,6,2,0,1,-0.5991319429463893,300
7,3,3,1,10,no trade ,0
8,3,0,3,1,no trade ,0
9,3,3,2,2,-0.5416123771474921,300
10,0,2,3,0,-0.5203165043014556,73
0,10,1,2,10,no trade ,0
1,10,3,4,0,-0.46854371780379844,100
2,9,2,2,8,-0.37631912745597157,900
3,0,1,4,0,no trade ,0
4,0,1,4,0,no trade ,0
5,0,1,4,0,no trade ,0
6,0,0,2,0,no trade ,0
7,0,2,2,0,no trade ,0
8,0,1,2,0,no trade ,0
9,0,1,2,0,no trade ,0
10,0,1,3,0,no trade ,0
0,10,1,2,10,no trade ,0
1,10,1,2,10,no trade ,0
2,10,1,2,10,no trade ,0
3,10,1,2,3,-0.44267246586927633,642
4,3,0,1,10,no trade ,0
5,3,2,1,10,no trade ,0
6,3,1,1,10,no trade ,0
7,3,1,1,10,no trade ,0
8,3,1,1,10,no trade ,0
9,3,1,2,3,-0.48444053228395384,358
10,0,1,1,0,no trade ,0
0,10,0,2,10,no trade ,0
1,10,1,2,10,no trade ,0
